Voltage,DurationSeconds
42.650,9705
42.655,9701
43.059,9691
43.716,9681
44.039,9671
44.319,9662
44.565,9652
44.791,9642
45.008,9632
45.207,9623
45.390,9613
45.557,9603
45.724,9593
45.873,9584
46.012,9574
46.149,9564
46.286,9554
46.412,9545
46.537,9535
46.657,9525
46.773,9515
46.879,9506
46.985,9496
47.086,9486
47.181,9477
47.280,9467
47.370,9457
47.459,9447
47.544,9438
47.615,9429
47.697,9420
47.778,9410
47.851,9400
47.926,9390
47.999,9381
48.072,9371
48.141,9361
48.203,9351
48.270,9342
48.331,9332
48.391,9322
48.453,9313
48.507,9303
48.563,9293
48.619,9283
48.671,9274
48.719,9264
48.768,9254
48.811,9244
48.847,9235
48.882,9225
48.904,9215
48.932,9206
48.949,9196
48.960,9186
48.974,9176
48.983,9167
48.992,9157
48.996,9147
49.000,9137
49.005,9128
49.009,9118
49.013,9108
49.015,9098
49.018,9089
49.020,9079
49.021,9069
49.027,9060
49.031,9050
49.033,9040
49.035,9030
49.037,9021
49.040,9011
49.046,9001
49.048,8991
49.049,8982
49.053,8972
49.056,8962
49.062,8952
49.067,8943
49.069,8933
49.073,8923
49.077,8914
49.083,8904
49.087,8896
49.090,8886
49.093,8876
49.097,8866
49.100,8857
49.105,8847
49.111,8837
49.118,8827
49.123,8818
49.129,8808
49.134,8798
49.138,8788
49.147,8779
49.151,8769
49.158,8759
49.165,8750
49.170,8740
49.176,8730
49.186,8720
49.188,8711
49.200,8701
49.209,8691
49.218,8681
49.225,8672
49.231,8662
49.242,8652
49.248,8643
49.257,8633
49.262,8623
49.273,8613
49.283,8604
49.289,8594
49.303,8584
49.313,8574
49.321,8565
49.332,8555
49.336,8545
49.348,8535
49.359,8526
49.370,8516
49.385,8506
49.393,8497
49.404,8487
49.410,8477
49.420,8467
49.431,8458
49.442,8448
49.454,8438
49.467,8428
49.477,8419
49.487,8409
49.497,8399
49.509,8390
49.518,8380
49.528,8370
49.541,8360
49.551,8352
49.561,8342
49.571,8333
49.580,8323
49.589,8313
49.599,8303
49.612,8294
49.622,8284
49.633,8274
